"=""User Id""","=""Username""","=""Comment Id""","=""Comment Text""","=""Profile URL""","=""Profile Pic URL""","=""Date"""
"=""6362904520""","=""annaacelia""","=""18102522055384703""","=""Everything ! 🖤""","=""https://www.instagram.com/annaacelia""","=""https://instagram.fijd1-1.fna.fbcdn.net/v/t51.2885-19/350595261_1194725187816487_2669776662132662244_n.jpg""","=""2024/3/19 12:47:26"""
"=""4602832""","=""nicolaformichetti""","=""18314448679127408""","=""❤""","=""https://www.instagram.com/nicolaformichetti""","=""https://instagram.fijd1-1.fna.fbcdn.net/v/t51.2885-19/387269289_1348667775750518_8570913470867806529_n.jpg""","=""2024/3/19 12:50:50"""
"=""205882078""","=""fleurdumalnyc""","=""17963211812608291""","=""@nicolaformichetti 🖤🖤🖤""","=""https://www.instagram.com/fleurdumalnyc""","=""https://instagram.fijd1-1.fna.fbcdn.net/v/t51.2885-19/11850418_979765978713246_368174746_a.jpg""","=""2024/3/19 13:00:13"""
"=""2123379938""","=""isabelladrabin""","=""17860700283084742""","=""🖤🖤🖤""","=""https://www.instagram.com/isabelladrabin""","=""https://instagram.fijd1-1.fna.fbcdn.net/v/t51.2885-19/297680792_1042062929789947_6996679604248563654_n.jpg""","=""2024/3/19 13:14:39"""
"=""28339160""","=""jenniferdell""","=""17967602531704042""","=""Major 🔥""","=""https://www.instagram.com/jenniferdell""","=""https://instagram.fijd1-1.fna.fbcdn.net/v/t51.2885-19/305670899_839374733768248_5947956277031088752_n.jpg""","=""2024/3/19 13:20:37"""
"=""656728""","=""gramasthomas""","=""18404450002067049""","=""OMG""","=""https://www.instagram.com/gramasthomas""","=""https://instagram.fijd1-1.fna.fbcdn.net/v/t51.2885-19/58454143_318141212201395_4568468902148833280_n.jpg""","=""2024/3/19 13:29:41"""
"=""884217297""","=""sainthershey""","=""17985953180634514""","=""Stunning!!""","=""https://www.instagram.com/sainthershey""","=""https://instagram.fijd1-1.fna.fbcdn.net/v/t51.2885-19/432749741_1129926378015616_2139347119920962633_n.jpg""","=""2024/3/19 13:48:34"""
"=""4175922302""","=""scarlettzsabet""","=""18047970325720184""","=""🖤🖤""","=""https://www.instagram.com/scarlettzsabet""","=""https://instagram.fijd1-1.fna.fbcdn.net/v/t51.2885-19/71072489_429444577709266_4369855750227361792_n.jpg""","=""2024/3/19 13:50:16"""
"=""2340042240""","=""colleen_heidemann""","=""18115599133364738""","=""STUNNING!""","=""https://www.instagram.com/colleen_heidemann""","=""https://instagram.fijd1-1.fna.fbcdn.net/v/t51.2885-19/432104780_426492269765448_8155064423105405363_n.jpg""","=""2024/3/19 15:13:46"""
"=""358723577""","=""katiethemusic""","=""17959412018724241""","=""Ikr !! These in this morning !! 🤯😭🖤🩵""","=""https://www.instagram.com/katiethemusic""","=""https://instagram.fijd1-1.fna.fbcdn.net/v/t51.2885-19/409202768_876156107224072_8453652896870991058_n.jpg""","=""2024/3/19 15:52:43"""
"=""183870973""","=""jenniferzuccarini""","=""17990825825623774""","=""Love ❤""","=""https://www.instagram.com/jenniferzuccarini""","=""https://instagram.fijd1-1.fna.fbcdn.net/v/t51.2885-19/286638360_593388391984258_5878006852107435703_n.jpg""","=""2024/3/19 15:54:25"""
"=""26995933""","=""myfathersdaughter21""","=""18022773125023350""","=""EVERYTHING 🩵🩵🩵🩵""","=""https://www.instagram.com/myfathersdaughter21""","=""https://instagram.fijd1-1.fna.fbcdn.net/v/t51.2885-19/313839623_2426343500847811_4248127499588878086_n.jpg""","=""2024/3/19 17:12:16"""
"=""1134926401""","=""corinnecll""","=""18017922671477389""","=""my fav !!!!😍😍😍""","=""https://www.instagram.com/corinnecll""","=""https://instagram.fijd1-1.fna.fbcdn.net/v/t51.2885-19/432492167_377353468396544_7974235535008408298_n.jpg""","=""2024/3/19 18:04:20"""
"=""195843419""","=""dashaa.bychkova""","=""17960305064724810""","=""OBSESSED""","=""https://www.instagram.com/dashaa.bychkova""","=""https://instagram.fijd1-1.fna.fbcdn.net/v/t51.2885-19/360043791_567439492270983_8243783481455190690_n.jpg""","=""2024/3/19 19:28:59"""
"=""56193432925""","=""heskreeet""","=""18019798100498229""","=""🔥🔥🔥🔥""","=""https://www.instagram.com/heskreeet""","=""https://instagram.fcgh10-1.fna.fbcdn.net/v/t51.2885-19/44884218_345707102882519_2446069589734326272_n.jpg""","=""2024/3/20 02:08:02"""
"=""191807692""","=""roosvanrij""","=""18024171320076755""","=""😍""","=""https://www.instagram.com/roosvanrij""","=""https://instagram.fijd1-1.fna.fbcdn.net/v/t51.2885-19/434655059_1322244642052852_7115018357347105557_n.jpg""","=""2024/3/20 06:29:09"""
"=""51515249916""","=""pas.pat2002""","=""18123756997338333""","=""🖤🖤🖤""","=""https://www.instagram.com/pas.pat2002""","=""https://instagram.fijd1-1.fna.fbcdn.net/v/t51.2885-19/416275209_890367665833133_3001131654801391874_n.jpg""","=""2024/3/20 10:31:17"""
