"=""User Id""","=""Username""","=""Comment Id""","=""Comment Text""","=""Profile URL""","=""Profile Pic URL""","=""Date"""
"=""54246739200""","=""avaisabella.le""","=""18013428698264124""","=""Such a great perspective! Life can be challenging at times but with the right mindset and attitude, we can learn to navigate it like a game. It's about understanding the rules and playing to win. Keep this perspective and you’ll be unstoppable 💯 @camille_ambros""","=""https://www.instagram.com/avaisabella.le""","=""https://instagram.fijd1-1.fna.fbcdn.net/v/t51.2885-19/290606576_560324918887507_1522411632387485763_n.jpg""","=""2024/4/3 22:55:54"""
"=""51515249916""","=""pas.pat2002""","=""18331684321143125""","=""🖤🖤🖤""","=""https://www.instagram.com/pas.pat2002""","=""https://instagram.fijd1-1.fna.fbcdn.net/v/t51.2885-19/416275209_890367665833133_3001131654801391874_n.jpg""","=""2024/4/4 00:07:05"""
"=""45465003766""","=""axelperez763""","=""18022185761111034""","=""😯😯😗🥰😘💍😻😍😗😄😘💞😻😍😻😋😋 me encantas mi amor o mí diosa""","=""https://www.instagram.com/axelperez763""","=""https://instagram.fijd1-1.fna.fbcdn.net/v/t51.2885-19/140749586_3733330083426341_4290968640074691034_n.jpg""","=""2024/4/4 08:53:02"""
"=""57224413872""","=""eversonmatheusmoraespereira""","=""18332608855143684""","=""Seu pai trabalha no correio porque vc tem um pacotão""","=""https://www.instagram.com/eversonmatheusmoraespereira""","=""https://instagram.fijd1-1.fna.fbcdn.net/v/t51.2885-19/412588052_744886743665659_5050917475988295366_n.jpg""","=""2024/4/4 13:33:23"""
"=""52786525""","=""brittbergmeister""","=""18020159822501069""","=""Little black set 🖤""","=""https://www.instagram.com/brittbergmeister""","=""https://instagram.fijd1-1.fna.fbcdn.net/v/t51.2885-19/434470765_405301868866815_6807262233755413825_n.jpg""","=""2024/4/4 16:16:33"""
"=""2026427460""","=""bodyinvestmentnyc""","=""18334925740119046""","=""🖤""","=""https://www.instagram.com/bodyinvestmentnyc""","=""https://instagram.fijd1-1.fna.fbcdn.net/v/t51.2885-19/394028180_342956328130058_8033438470412917738_n.jpg""","=""2024/4/4 18:46:14"""
"=""59527564605""","=""janetchamp02""","=""18073889122488809""","=""Ordered it 🔥🔥🔥""","=""https://www.instagram.com/janetchamp02""","=""https://instagram.fijd1-1.fna.fbcdn.net/v/t51.2885-19/342930632_2136727053383072_8317991590375474748_n.jpg""","=""2024/4/5 14:14:51"""
"=""55041970015""","=""tunedrinks""","=""18046685719712304""","=""🌶️ 🌶️""","=""https://www.instagram.com/tunedrinks""","=""https://instagram.fijd1-1.fna.fbcdn.net/v/t51.2885-19/428595353_1148972749791127_6572724449747070377_n.jpg""","=""2024/4/6 15:25:38"""
"=""1769107991""","=""im_amanda_nguyen""","=""18120734599356121""","=""🖤""","=""https://www.instagram.com/im_amanda_nguyen""","=""https://instagram.fijd1-1.fna.fbcdn.net/v/t51.2885-19/417913924_392115476607060_3897783721117628302_n.jpg""","=""2024/4/6 15:48:47"""
"=""55037222436""","=""etienne333777""","=""17967604478596848""","=""🔥🔥🔥😍""","=""https://www.instagram.com/etienne333777""","=""https://instagram.fijd1-1.fna.fbcdn.net/v/t51.2885-19/437864187_3511505375782361_3060010751947524052_n.jpg""","=""2024/4/7 17:31:57"""
