"=""User Id""","=""Username""","=""Comment Id""","=""Comment Text""","=""Profile URL""","=""Profile Pic URL""","=""Date"""
"=""629659835""","=""albersactor""","=""18038781322827689""","=""Marketing team on point 🔥😍❤""","=""https://www.instagram.com/albersactor""","=""https://instagram.fijd1-1.fna.fbcdn.net/v/t51.2885-19/339542691_270023038683161_3718993618609570237_n.jpg""","=""2024/4/5 11:54:36"""
"=""5998899""","=""elenamiglino""","=""18277752985200497""","=""So good, so quick.""","=""https://www.instagram.com/elenamiglino""","=""https://instagram.fijd1-1.fna.fbcdn.net/v/t51.2885-19/240951089_566762378007496_6094984314662059521_n.jpg""","=""2024/4/5 11:54:59"""
"=""183870973""","=""jenniferzuccarini""","=""17919912440866931""","=""🔥""","=""https://www.instagram.com/jenniferzuccarini""","=""https://instagram.fijd1-1.fna.fbcdn.net/v/t51.2885-19/286638360_593388391984258_5878006852107435703_n.jpg""","=""2024/4/5 11:56:20"""
"=""28339160""","=""jenniferdell""","=""18045592111675357""","=""Honestly""","=""https://www.instagram.com/jenniferdell""","=""https://instagram.fijd1-1.fna.fbcdn.net/v/t51.2885-19/305670899_839374733768248_5947956277031088752_n.jpg""","=""2024/4/5 11:57:51"""
"=""424704095""","=""_laurenfern""","=""18025713836058228""","=""Slay""","=""https://www.instagram.com/_laurenfern""","=""https://instagram.fijd1-1.fna.fbcdn.net/v/t51.2885-19/134448237_387335889234071_5139112644148849549_n.jpg""","=""2024/4/5 12:00:05"""
"=""9467321""","=""tayylashh""","=""18002851574249494""","=""Hahahahahahhaha""","=""https://www.instagram.com/tayylashh""","=""https://instagram.fijd1-1.fna.fbcdn.net/v/t51.2885-19/340846429_738400808014760_6569619698693261955_n.jpg""","=""2024/4/5 12:00:30"""
"=""2413157800""","=""lynncruns""","=""18091224715421411""","=""😂""","=""https://www.instagram.com/lynncruns""","=""https://instagram.fijd1-1.fna.fbcdn.net/v/t51.2885-19/433422201_810378750931925_2288341185968983314_n.jpg""","=""2024/4/5 12:07:09"""
"=""656728""","=""gramasthomas""","=""18022710410110291""","=""@tayylashh thank you""","=""https://www.instagram.com/gramasthomas""","=""https://instagram.fijd1-1.fna.fbcdn.net/v/t51.2885-19/58454143_318141212201395_4568468902148833280_n.jpg""","=""2024/4/5 12:10:04"""
"=""289908005""","=""ardenizmirliyan""","=""18062184805524104""","=""♠️🔝""","=""https://www.instagram.com/ardenizmirliyan""","=""https://instagram.fijd1-1.fna.fbcdn.net/v/t51.2885-19/374740418_1695764597503430_1023895533444156334_n.jpg""","=""2024/4/5 12:12:25"""
"=""12762965""","=""robertlugo""","=""17894827325683065""","=""On the ball with that one. Well done. Someone deserves a raise.""","=""https://www.instagram.com/robertlugo""","=""https://instagram.fijd1-1.fna.fbcdn.net/v/t51.2885-19/121971761_1103687440047278_810848568085740108_n.jpg""","=""2024/4/5 12:50:05"""
"=""421851891""","=""nursesabnyc""","=""18257893126212171""","=""Love it""","=""https://www.instagram.com/nursesabnyc""","=""https://instagram.fijd1-1.fna.fbcdn.net/v/t51.2885-19/77260794_608280696580014_5285147546254049280_n.jpg""","=""2024/4/5 12:57:56"""
"=""18827186""","=""andrea.suarzc""","=""18002446748528892""","=""😂😂😂 You guys are so good and so quick""","=""https://www.instagram.com/andrea.suarzc""","=""https://instagram.fijd1-1.fna.fbcdn.net/v/t51.2885-19/434583106_1004141897862301_2060605595811484808_n.jpg""","=""2024/4/5 13:03:22"""
"=""47905687869""","=""casse_toi_oui""","=""18046060651644854""","=""EPIC""","=""https://www.instagram.com/casse_toi_oui""","=""https://instagram.fijd1-1.fna.fbcdn.net/v/t51.2885-19/316511682_487029233523678_6832211038214349493_n.jpg""","=""2024/4/5 13:14:36"""
"=""8408736740""","=""laur.weeks""","=""18026478452006860""","=""@jenniferzuccarini genius 😂😂 love this""","=""https://www.instagram.com/laur.weeks""","=""https://instagram.fijd1-1.fna.fbcdn.net/v/t51.2885-19/434525444_1434704610472246_3278372123134319236_n.jpg""","=""2024/4/5 13:25:15"""
"=""295108045""","=""wine_kno""","=""17919857567883388""","=""👌🔥""","=""https://www.instagram.com/wine_kno""","=""https://instagram.fijd1-1.fna.fbcdn.net/v/t51.2885-19/13722181_1761056864138208_854389246_a.jpg""","=""2024/4/5 13:57:32"""
"=""26995933""","=""myfathersdaughter21""","=""18046912486714194""","=""😂😂😂😂😂 perfection as always""","=""https://www.instagram.com/myfathersdaughter21""","=""https://instagram.fijd1-1.fna.fbcdn.net/v/t51.2885-19/313839623_2426343500847811_4248127499588878086_n.jpg""","=""2024/4/5 14:06:06"""
"=""6189341193""","=""heavenbylily""","=""18036554725842158""","=""shook lol 😍""","=""https://www.instagram.com/heavenbylily""","=""https://instagram.fijd1-1.fna.fbcdn.net/v/t51.2885-19/423558942_1103471227498353_5541194185949981201_n.jpg""","=""2024/4/5 14:09:05"""
"=""379016278""","=""chickenwop_""","=""18120875377348880""","=""🔥""","=""https://www.instagram.com/chickenwop_""","=""https://instagram.fijd1-1.fna.fbcdn.net/v/t51.2885-19/436481128_1150676339618657_7311467485543837276_n.jpg""","=""2024/4/5 14:36:54"""
"=""6403162""","=""emmabarnhard""","=""17935368017730667""","=""well done""","=""https://www.instagram.com/emmabarnhard""","=""https://instagram.fijd1-1.fna.fbcdn.net/v/t51.2885-19/316793604_182113971146680_467455597037506841_n.jpg""","=""2024/4/5 17:55:55"""
"=""202565792""","=""carolinerusso_nyc""","=""18428139553015510""","=""👏👏👏👏""","=""https://www.instagram.com/carolinerusso_nyc""","=""https://instagram.fijd1-1.fna.fbcdn.net/v/t51.2885-19/279660203_1134346663966083_4194792786601016837_n.jpg""","=""2024/4/5 21:24:57"""
"=""656728""","=""gramasthomas""","=""18000532688313328""","=""Exactly @jenniferzuccarini""","=""https://www.instagram.com/gramasthomas""","=""https://instagram.fijd1-1.fna.fbcdn.net/v/t51.2885-19/58454143_318141212201395_4568468902148833280_n.jpg""","=""2024/4/5 23:32:24"""
"=""46926544""","=""riddsta""","=""17859520713117059""","=""Hahaha this is good""","=""https://www.instagram.com/riddsta""","=""https://instagram.fijd1-1.fna.fbcdn.net/v/t51.2885-19/18888728_485872635114678_7533879129792315392_a.jpg""","=""2024/4/6 04:33:34"""
"=""9201625858""","=""jaycze__""","=""18041523538697419""","=""😂😂""","=""https://www.instagram.com/jaycze__""","=""https://instagram.fijd1-1.fna.fbcdn.net/v/t51.2885-19/434714580_925864569246104_6032275516398496110_n.jpg""","=""2024/4/7 21:00:44"""
